Type,Identification,Field,Locale,Market,Status,Default content,Translated content
Product,soup-kettle-gourmet-10l-100047,title,de,,,Soppkastrull Gourmet 10L,Suppentopf Gourmet 10L
Product,soup-kettle-gourmet-10l-100047,body_html,de,,,"Soppgryta Gourmet med 10 liters innerkärl i kromnickelstål, indirekt uppvärmning och steglös reglering upp till 95 °C. Soppsked ingår, vridbart lock med skedurtag. För restauranger och bufféer med stort soppbehov och krav på smidig handhavande.","Suppentopf Gourmet mit 10 Liter Chromnickelstahl-Innentopf, indirekter Beheizung und stufenloser Regelung bis 95 °C. Suppenkelle inklusive, drehbarer Klappdeckel mit Löffelaussparung. Für Restaurants und Buffets mit höherem Suppenbedarf und Anspruch an handliche Bedienung."
Product,soup-kettle-10l-100048,title,de,,,Soppkastrull 10L,Suppentopf 10L
Product,soup-kettle-10l-100048,body_html,de,,,Det genomskinliga locket i polykarbonat g&ouml;r att du alltid kan se in i grytan. Inget kr&aring;ngligt kontrollerande av m&auml;ngden soppa eller s&aring;s &ndash; ingen on&ouml;dig v&auml;rmef&ouml;rlust.,Der durchsichtige Polycarbonat-Deckel erm&ouml;glicht jederzeit einen Einblick in den Suppentopf. Kein umst&auml;ndliches &uuml;berprüfen der Füllst&auml;nde von Suppen oder So&szlig;en - kein unn&ouml;tiger W&auml;rmeverlust.
Product,party-kettle-9l-100054,title,de,,,Partykastrull 9L,Partytopf 9L
Product,party-kettle-9l-100054,body_html,de,,,"Partypanna med 9 liters innerkanna i rostfritt stål, indirekt uppvärmning och steglös reglering upp till 95 °C. Fällbart lock med skedutrymme, 8 magnetiska etiketter, 0,4 kW. För bufféer, föreningskök och cateringfirmor som vill hålla flera soppsorter varma samtidigt.","Partytopf mit 9 Liter Edelstahl-Innentopf, indirekter Beheizung und stufenloser Regelung bis 95 °C. Klappbarer Deckel mit Löffelaussparung, 8 magnetische Beschriftungen, 0,4 kW. Für Buffets, Vereinsküchen und Caterer, die mehrere Suppensorten gleichzeitig warmhalten wollen."
Product,soup-kettle-de-luxe-9l-100058,title,de,,,Soppkastrull De Luxe 9L,Suppentopf De Luxe 9L
Product,soup-kettle-economic-9l-100061,title,de,,,Soppkastrull Economic 9L,Suppentopf Economic 9L
Product,soup-kettle-economic-9l-100061,body_html,de,,,"Soppgryta Economic med 9 liters innergryta i rostfritt stål, indirekt uppvärmning och steglös reglering upp till 94 °C. Fällbart lock med vridfunktion och värmeskyddshandtag, 8 magnetiska etiketter. Prisvärd instegslösning för restauranger och bufféer med regelbundet soppbehov.","Suppentopf Economic mit 9 Liter Edelstahl-Innentopf, indirekter Beheizung und stufenloser Regelung bis 94 °C. Klappbarer Deckel mit Drehfunktion und Hitzeschutzgriff, 8 magnetische Beschriftungen. Preiswerte Einstiegslösung für Restaurants und Buffets mit regelmäßigem Suppenbedarf."
Product,soup-kettle-5-4l-100062,title,de,,,"Soppkastrull 5,4L","Suppentopf 5,4L"
