Type,Identification,Field,Locale,Market,Status,Default content,Translated content
Product,soup-kettle-gourmet-10l-100047,title,tr,,,Soppkastrull Gourmet 10L,Çorba kazanı Gourmet 10L
Product,soup-kettle-gourmet-10l-100047,body_html,tr,,,"Soppgryta Gourmet med 10 liters innerkärl i kromnickelstål, indirekt uppvärmning och steglös reglering upp till 95 °C. Soppsked ingår, vridbart lock med skedurtag. För restauranger och bufféer med stort soppbehov och krav på smidig handhavande.","10 litrelik paslanmaz çelik iç hazneli, dolaylı ısıtmalı ve 95 °C'ye kadar kademesiz ayarlı gurme çorba kazanı. Kepçe dahil, kaşık yuvalı devrilir menteşeli kapak. Yoğun çorba talebi olan ve kolay kullanım arayan restoran ve büfeler için."
Product,soup-kettle-10l-100048,title,tr,,,Soppkastrull 10L,Çorba kazanı 10L
Product,soup-kettle-10l-100048,body_html,tr,,,Det genomskinliga locket i polykarbonat g&ouml;r att du alltid kan se in i grytan. Inget kr&aring;ngligt kontrollerande av m&auml;ngden soppa eller s&aring;s &ndash; ingen on&ouml;dig v&auml;rmef&ouml;rlust.,"Şeffaf polikarbonat kapak, çorba kazanının içini istediğiniz an görmenizi sağlar. Çorba ve sosların seviyesini kontrol etmek için kapağı açmaya gerek yok — gereksiz ısı kaybı olmaz."
Product,party-kettle-9l-100054,body_html,tr,,,"Partypanna med 9 liters innerkanna i rostfritt stål, indirekt uppvärmning och steglös reglering upp till 95 °C. Fällbart lock med skedutrymme, 8 magnetiska etiketter, 0,4 kW. För bufféer, föreningskök och cateringfirmor som vill hålla flera soppsorter varma samtidigt.","9 litrelik paslanmaz çelik iç hazneli, dolaylı ısıtmalı ve 95 °C'ye kadar kademesiz ayarlı parti kazanı. Kaşık yuvalı menteşeli kapak, 8 mıknatıslı etiket, 0,4 kW. Aynı anda birkaç çeşit çorbayı sıcak tutmak isteyen büfeler, kulüp mutfakları ve catering firmaları için."
Product,soup-kettle-de-luxe-9l-100058,title,tr,,,Soppkastrull De Luxe 9L,Çorba kazanı De Luxe 9L
Product,soup-kettle-economic-9l-100061,title,tr,,,Soppkastrull Economic 9L,Çorba kazanı Economic 9L
Product,soup-kettle-economic-9l-100061,body_html,tr,,,"Soppgryta Economic med 9 liters innergryta i rostfritt stål, indirekt uppvärmning och steglös reglering upp till 94 °C. Fällbart lock med vridfunktion och värmeskyddshandtag, 8 magnetiska etiketter. Prisvärd instegslösning för restauranger och bufféer med regelbundet soppbehov.","9 litrelik paslanmaz çelik iç hazneli, dolaylı ısıtmalı ve 94 °C'ye kadar kademesiz ayarlı ekonomik çorba kazanı. Devrilir menteşeli kapak ve ısıya dayanıklı tutamak, 8 mıknatıslı etiket. Düzenli çorba ihtiyacı olan restoran ve büfeler için uygun fiyatlı giriş seviyesi çözüm."
Product,soup-kettle-5-4l-100062,title,tr,,,"Soppkastrull 5,4L","Çorba kazanı 5,4L"
Product,soup-kettle-5-4l-100062,body_html,tr,,,"Elektrisk soppkanna med 5,4 liters Innerkärl i rostfritt stål, indirekt uppvärmning och steglös temperaturreglering upp till 95 °C. Med 8 magnetiska etiketter. Fällbart, vridbart handtag. För restauranger och bufféer som håller flera soppor varma samtidigt.","5,4 litrelik paslanmaz çelik iç hazneli, dolaylı ısıtmalı ve 95 °C'ye kadar kademesiz sıcaklık ayarlı elektrikli çorba kazanı. 8 mıknatıslı etiket plakası ile. Katlanır, döner tutamak. Aynı anda birkaç çorbayı sıcak tutan restoran ve büfeler için."
Product,soup-kettle-club-8-5l-100067,title,tr,,,"Soppkastrull Club 8,5L","Çorba kazanı Club 8,5L"
Product,soup-kettle-club-8-5l-100067,body_html,tr,,,"Soppgryta Club med 8,5 liters Innerkärl i rostfritt stål, indirekt uppvärmning, steglös reglering upp till 95 °C. Fällbart, vridbart lock med Skedurtag och värmeskydd. Med 8 magnetiska etiketter. För restauranger som dagligen håller flera soppsorter varma.","8,5 litrelik paslanmaz çelik iç hazneli, dolaylı ısıtmalı, 95 °C'ye kadar kademesiz ayarlı kulüp tipi çorba kazanı. Kaşık yuvalı ve ısı korumalı, devrilir menteşeli kapak. 8 mıknatıslı etiket ile. Her gün birkaç çeşit çorbayı sıcak tutan restoranlar için."
Product,thermo-transport-container-20l-ss-100080,body_html,tr,,,S&auml;ker och enkel transport av kall eller varm mat.,Soğuk veya sıcak yiyeceklerin güvenli ve kolay taşınması.
Product,ice-cube-maker-hk150-100082,body_html,tr,,,Med iskubsmaskinen kan hålkoner i 3 olika storlekar produceras behovsanpassat. Tack vare den inbyggda vattentanken och det kompakta utförandet är produkten perfekt för serveringsdiskar.,"Buz makinesiyle 3 farklı boyutta içi boş koni buz ihtiyaca göre üretilebilir. Entegre su haznesi ve kompakt tasarımı sayesinde cihaz, tezgâh altı kullanım için son derece uygundur."
Product,ice-cube-maker-w150-100083,body_html,tr,,,"Kompakt enhet för produktion av genomskinliga iskuber. Perfekt till den mindre restaurangen, och även för privat bruk.","Berrak buz küpü üretimi için kompakt cihaz. Küçük işletmeler, örneğin tezgâh arkası kullanım ve ev kullanımı için ideal."
Product,thermo-transport-container-20l-plus-100085,body_html,tr,,,S&auml;ker och problemfri transport av kalla eller varma v&auml;tskor.,Soğuk veya sıcak sıvıların güvenli ve kolay taşınması.
Product,toaster-ts60-100197,title,tr,,,Brödrost TS60,Ekmek kızartma makinesi TS60
Product,toaster-ts60-100197,body_html,tr,,,"Det lilla extra: 6 fack med väljare för rostning av 2, 4 eller 6 toastskivor.","Her zaman biraz daha fazlası: 2, 4 veya 6 dilim kızartmak için seçim anahtarlı 6 yuva."
Product,conveyor-toaster-mini-100211,title,tr,,,"Rostmaskin ""Mini""","Bantlı tost makinesi ""Mini"""
Product,conveyor-toaster-mini-100211,body_html,tr,,,Särskilt platsbesparande - perfekt för bufféer,Özellikle yerden tasarruflu — büfeler için ideal.
Product,conveyor-toaster-dlt150-1-s-100262,title,tr,,,Rostmaskin DLT150-1 S,Bantlı tost makinesi DLT150-1 S
Product,conveyor-toaster-dlt150-1-s-100262,body_html,tr,,,"Elegant, kraftfull och mångsidig - den mattsvarta brödrosten imponerar både visuellt och funktionellt. Oavsett om det gäller brödrullar, smörgåstoast eller klassiska toastskivor: allt rostas jämnt och effektivt. Den steglöst reglerbara bandhastigheten, den valbara värmetillförseln och alternativet med främre eller bakre utmatning möjliggör flexibel anpassning till olika krav.","Zarif, güçlü ve çok yönlü — mat siyah bantlı tost makinesi hem görünüşüyle hem işleviyle etkiliyor. İster sandviç ekmeği, ister tost ekmeği, ister klasik dilim: her şey eşit ve verimli biçimde kızarıyor. Kademesiz bant hızı, seçilebilir ısı beslemesi ve önden veya arkadan çıkış seçeneği farklı ihtiyaçlara esnek uyum sağlıyor."
Product,conveyor-toaster-mini-xs-100273,title,tr,,,Rostmaskin Mini-XS,Bantlı tost makinesi Mini-XS
Product,conveyor-toaster-mini-xs-100273,body_html,tr,,,"Denna rostmaskin, i mycket kompakt utförande, får plats även i mycket små kök, eller på mycket små buffébord. Trots sin ringa storlek klarar den effektiva maskinen att rosta upp till 90 toastskivor eller franskbrödshalvor i timmen.",Ekstra ince tasarımlı bu bantlı tost makinesi en küçük mutfakta veya en dar büfe masasında bile yer bulur. Boyutuna rağmen bu yüksek performanslı cihaz saatte 90 dilime kadar ekmek veya yarım sandviç ekmeği kızartabilir.
Product,toaster-ts20sli-100282,title,tr,,,Brödrost TS20Sli,Ekmek kızartma makinesi TS20Sli
Product,toaster-ts20sli-100282,body_html,tr,,,Toastglid - praktiskt och s&auml;kert: F&auml;rdig toast glider ner p&aring; en integrerad bricka f&ouml;r borttagning.,"Tost kızağı — pratik ve güvenli: Kızaran tost, alınmak üzere entegre tepsiye kayar."
Product,toaster-ts40-100292,title,tr,,,Brödrost TS40,Ekmek kızartma makinesi TS40
Product,toaster-ts40-100292,body_html,tr,,,Rostning efter tycke och smak – för 2 eller 4 brödskivor. Rostningsgraden för toastbröd och sandwich-toast ställs in med den steglöst reglerbara timern. En behaglig signal avges när rostningen är klar.,Her damak zevkine göre tost — isteğe bağlı 2 veya 4 dilim. Kademesiz zamanlayıcı ile tost ve sandviç ekmeğinin kızarma derecesi ayrı ayrı ayarlanabilir. Hoş bir uyarı sesi kızartmanın bittiğini haber verir.
Product,toaster-tbrb20-100373,title,tr,,,Brödrost TBRB20,Ekmek kızartma makinesi TBRB20
Product,toaster-tbrb20-100373,body_html,tr,,,"M&aring;ngsidiga funktioner f&ouml;r frukostbuff&eacute;n: upptining, uppv&auml;rmning och rostning av toast och sm&aring;frallor - bagels kan &auml;ven rostas p&aring; endast ena sidan.","Kahvaltı büfesi için çok yönlü işlevler: Ekmek ve sandviç ekmeğini çözme, ısıtma ve kızartma — simitleri tek taraflı bile kızartabilir."
Product,toaster-tbrb40-100374,title,tr,,,Brödrost TBRB40,Ekmek kızartma makinesi TBRB40
Product,toaster-tbrb40-100374,body_html,tr,,,"M&aring;ngsidiga funktioner f&ouml;r frukostbuff&eacute;n: upptining, uppv&auml;rmning och rostning av toast och sm&aring;frallor - bagels kan &auml;ven rostas p&aring; endast ena sidan.","Kahvaltı büfesi için çok yönlü işlevler: Ekmek ve sandviç ekmeğini çözme, ısıtma ve kızartma — simitleri tek taraflı bile kızartabilir."
Product,baking-tray-433x333-st-100404,title,tr,,,Bakplåt 433x333-ST,Fırın tepsisi 433x333-ST
Product,baking-tray-433x333-st-100404,body_html,tr,,,Robust bakplåt i rostfritt stål – med 4-sidig kant för säker bakning och transport av produkterna.,Dayanıklı paslanmaz çelik fırın tepsisi — pişirilen ürünlerin güvenli pişirilmesi ve taşınması için 4 tarafı kenarlı.
Product,baking-tray-433x333-si-100405,title,tr,,,Bakplåt 433x333-SI,Fırın tepsisi 433x333-SI
Product,baking-tray-433x333-si-100405,body_html,tr,,,Okomplicerat och miljövänligt – bakplåten med silikonbeläggning möjliggör enklare bakning utan användning av bakplåtspapper eller bakfolie. 4-sidig kant för säker bakning och transport.,"Zahmetsiz ve çevre dostu — silikon kaplı fırın tepsisi, pişirme kâğıdı veya folyoya gerek kalmadan kolay pişirme sağlar. 4 tarafı kenarlı yapısı güvenli pişirme ve taşıma imkânı verir."
Product,baking-tray-433x333-al-100406,title,tr,,,Bakplåt 433x333-AL,Fırın tepsisi 433x333-AL
Product,baking-tray-433x333-al-100406,body_html,tr,,,Bakplåten av aluminium är temperaturbeständig upp till 260 °C. 4-sidig kant för säker bakning och transport.,Alüminyum fırın tepsisi 260 °C'ye kadar ısıya dayanıklıdır. 4 tarafı kenarlı yapısı güvenli pişirme ve taşıma imkânı verir.
Product,perforated-tray-433x333-si-100407,body_html,tr,,,Okomplicerat och miljövänligt – hålplåten med silikonbeläggning möjliggör enklare bakning utan användning av bakplåtspapper eller bakfolie. 3-sidig kant för säker bakning och transport.,"Zahmetsiz ve çevre dostu — delikli silikon kaplı metal tepsi, pişirme kâğıdı veya folyoya gerek kalmadan kolay pişirme sağlar. 3 tarafı kenarlı yapısı güvenli pişirme ve taşıma imkânı verir."
Product,perforated-tray-433x333-al-100408,body_html,tr,,,Hålplåten av aluminium är temperaturbeständig upp till 260 °C. 3-sidig kant för säker bakning och transport.,Delikli alüminyum tepsi 260 °C'ye kadar ısıya dayanıklıdır. 3 tarafı kenarlı yapısı güvenli pişirme ve taşıma imkânı verir.
Product,baking-tray-600x400-al-100412,title,tr,,,Bakplåt 600x400-AL,Fırın tepsisi 600x400-AL
Product,baking-tray-600x400-al-100412,body_html,tr,,,Bakplåten av aluminium i bageristandardformatet 600x400 är temperaturbeständig upp till 260 °C. 3-sidig kant för säker bakning och transport.,600x400 pastane norm ölçüsündeki alüminyum fırın tepsisi 260 °C'ye kadar ısıya dayanıklıdır. 3 tarafı kenarlı yapısı güvenli pişirme ve taşıma imkânı verir.
Product,perforated-tray-600x400-al-100413,body_html,tr,,,Hålplåten av aluminium i bageristandardformatet 600x400 är temperaturbeständig upp till 260 °C. 3-sidig kant för säker bakning och transport.,600x400 pastane norm ölçüsündeki delikli alüminyum tepsi 260 °C'ye kadar ısıya dayanıklıdır. 3 tarafı kenarlı yapısı güvenli pişirme ve taşıma imkânı verir.
Product,perforated-tray-600x400-si-100416,body_html,tr,,,Okomplicerat och miljövänligt – hålplåten med silikonbeläggning i bageristandardformatet 600x400 möjliggör enklare bakning utan användning av bakplåtspapper eller bakfolie. 3-sidig kant för säker bakning och transport.,"Zahmetsiz ve çevre dostu — 600x400 pastane norm ölçüsündeki delikli silikon kaplı metal tepsi, pişirme kâğıdı veya folyoya gerek kalmadan kolay pişirme sağlar. 3 tarafı kenarlı yapısı güvenli pişirme ve taşıma imkânı verir."
Product,perforated-tray-2-3-al-100417,body_html,tr,,,Hålplåten av aluminium i 2/3 GN-format är temperaturbeständig upp till 260 °C. 4-sidig kant för säker bakning och transport.,2/3 GN ölçüsündeki delikli alüminyum tepsi 260 °C'ye kadar ısıya dayanıklıdır. 4 tarafı kenarlı yapısı güvenli pişirme ve taşıma imkânı verir.
Product,perforated-tray-2-3-si-100425,body_html,tr,,,Okomplicerat och miljövänligt – hålplåten med silikonbeläggning i 2/3 GN-format möjliggör enklare bakning utan användning av bakplåtspapper eller bakfolie. 4-sidig kant för säker bakning och transport.,"Zahmetsiz ve çevre dostu — 2/3 GN ölçüsündeki delikli silikon kaplı metal tepsi, pişirme kâğıdı veya folyoya gerek kalmadan kolay pişirme sağlar. 4 tarafı kenarlı yapısı güvenli pişirme ve taşıma imkânı verir."
Product,baking-tray-1-1-al-100426,title,tr,,,Bakplåt 1/1-AL,Fırın tepsisi 1/1-AL
Product,baking-tray-1-1-al-100426,body_html,tr,,,Bakplåten av aluminium i 1/1 GN-format är temperaturbeständig upp till 260 °C. 4-sidig kant för säker bakning och transport.,1/1 GN ölçüsündeki alüminyum fırın tepsisi 260 °C'ye kadar ısıya dayanıklıdır. 4 tarafı kenarlı yapısı güvenli pişirme ve taşıma imkânı verir.
Product,perforated-tray-1-1-al-100427,body_html,tr,,,Hålplåten av aluminium i 1/1 GN-format är temperaturbeständig upp till 260 °C. 4-sidig kant för säker bakning och transport.,1/1 GN ölçüsündeki delikli alüminyum tepsi 260 °C'ye kadar ısıya dayanıklıdır. 4 tarafı kenarlı yapısı güvenli pişirme ve taşıma imkânı verir.
Product,perforated-tray-1-1-si-100428,body_html,tr,,,Okomplicerat och miljövänligt – hålplåten med silikonbeläggning i 1/1 GN-format möjliggör enklare bakning utan användning av bakplåtspapper eller bakfolie. 4-sidig kant för säker bakning och transport.,"Zahmetsiz ve çevre dostu — 1/1 GN ölçüsündeki delikli silikon kaplı metal tepsi, pişirme kâğıdı veya folyoya gerek kalmadan kolay pişirme sağlar. 4 tarafı kenarlı yapısı güvenli pişirme ve taşıma imkânı verir."
Product,grill-plate-egr60400-100437,body_html,tr,,,"Den vändbara grillplattan är den perfekta kompletteringen till ångugnen eller ugnar med inmatningsmöjligheter på 600 x 400 mm. Den släta sidan tillåter bakning av underbart knapriga pizzor, medan på den räfflade sidan får grillgrönsaker eller kött det typiska grillmönstret och en rejäl rostad arom.","Çift taraflı ızgara plakası, 600 x 400 mm tepsi girişi olan kombi fırınlar için mükemmel bir tamamlayıcıdır. Düz yüzü nefis çıtır pizza pişirmeye yarar; nervürlü yüzü ise ızgara sebze veya ete tipik ızgara izlerini ve közlenmiş aromayı kazandırır."
Product,perforated-tray-600x400-alb-100438,body_html,tr,,,Hålplåt av aluminium i bageristandard 600 x 400. Tack vare den innovativa och robusta nonstick-beläggningen förhindras att bakverken fastnar.,"600 x 400 mm standart pastane ölçüsünde delikli alüminyum tepsi. Yenilikçi ve sağlam yapışmaz kaplama, pişen ürünlerin yapışmasını önler."
Product,baking-tray-600x400-alb-100439,title,tr,,,Bakplåt 600x400-ALB,Fırın tepsisi 600x400-ALB
Product,baking-tray-600x400-alb-100439,body_html,tr,,,Bakplåt av belagt aluminium i bageristandard 600 x 400. Tack vare den innovativa och robusta nonstick-beläggningen förhindras att bakverken fastnar.,"600 x 400 mm standart pastane ölçüsünde alüminyum fırın tepsisi. Yenilikçi ve sağlam yapışmaz kaplama, pişen ürünlerin yapışmasını önler."
Product,cooking-pot-25l-with-lid-100440,title,tr,,,Kastrull 25L med lock,Tencere 25L with lid
Product,cooking-pot-25l-with-lid-100440,body_html,tr,,,,"İndüksiyon, gaz, elektrik — ısı yalıtımlı kulplu ekstra büyük tencere her tür ocakta kullanılabilir."
Product,cooking-pot-25l-d290-100441,title,tr,,,Kastrull 25L-D290,Tencere 25L-D290
Product,cooking-pot-25l-d290-100441,body_html,tr,,,25 liters kastrull i högformat - passar även för induktion.,Dik formatta 25 litrelik tencere — indüksiyona da uygundur.
Product,cooking-pot-70l-d380-100442,title,tr,,,Kastrull 70L-D380,Tencere 70L-D380
Product,cooking-pot-70l-d380-100442,body_html,tr,,,"Kastrull, lämplig för induktion, format XXL för tillagning av upp till 70 liter.","70 litreye kadar yemek hazırlamak için XXL boyutta, indüksiyona uygun tencere."
Product,cooking-pot-30l-with-lid-100445,title,tr,,,Kastrull 30L med lock,Tencere 30L with lid
Product,cooking-pot-30l-with-lid-100445,body_html,tr,,,,"İndüksiyon, gaz, elektrik — ısı yalıtımlı kulplu ekstra büyük tencere her tür ocakta kullanılabilir."
Product,cooking-pot-e6-1l-1-100446,title,tr,,,"Kastrull E6,1L-1","Tencere E6,1L-1"
Product,cooking-pot-e6-1l-1-100446,body_html,tr,,,Kastrullen i rostfritt stål passar alla spistyper. De värmeisolerade handtagen ger en säker hantering i arbetet.,Bu paslanmaz çelik tencere her tür ocakta işinizi görür. Isı yalıtımlı kulpları mutfakta güvenli kullanım sağlar.
Product,cooking-pot-e11l-1-100447,title,tr,,,Kastrull E11L-1,Tencere E11L-1
Product,cooking-pot-e11l-1-100447,body_html,tr,,,Kastrullen i rostfritt stål passar alla spistyper. De värmeisolerade handtagen ger en säker hantering i arbetet.,Bu paslanmaz çelik tencere her tür ocakta işinizi görür. Isı yalıtımlı kulpları mutfakta güvenli kullanım sağlar.
Product,cooking-pot-e16l-1-100448,title,tr,,,Kastrull E16L-1,Tencere E16L-1
Product,cooking-pot-e16l-1-100448,body_html,tr,,,Kastrullen i rostfritt stål passar alla spistyper. De värmeisolerade handtagen ger en säker hantering i arbetet.,Bu paslanmaz çelik tencere her tür ocakta işinizi görür. Isı yalıtımlı kulpları mutfakta güvenli kullanım sağlar.
Product,cooking-pot-e10-4l-1-100449,title,tr,,,"Kastrull E10,4L-1","Tencere E10,4L-1"
